* Textfile zur Anzeige von Klartexten zu den entsprechenden
* RPS-Fehlermeldungen.
10942 "NC-System-Download: Status fÅr NC-Modul-Fehler in 'Info'"
10943 "NC-System-Download: ID fÅr NC-Modul-Fehler in 'Info'"

10950 "NC-System-Download: Inkompatible NC-Manager im System vorhanden"
10951 "NC-Manager: Fehler bei AVT_update() fÅr NC-System-Download"
10952 "NC-System-Download: Fehler bei AVT_search()"
10953 "NC-System-Download: Es ist bereits ein NC-System-Download aktiv"
10954 "NC-System-Download: Allgemeine NC-Konfigurationsliste nicht gefunden"
10955 "NC-System-Download: NC-Konfig.liste des angegebenen HW-Typs nicht gefunden"
10956 "NC-System-Download: Pointer der Download-Funktion ist ungÅltig"
10957 "NC-System-Download: Kein NC-Modul des angegebenen HW-Typs vorhanden"
10958 "NC-System-Download: NC-Modul-RESET nicht mîglich (BOOT vorhanden ?)"
10959 "NC-System-Download: Timeout fÅr NC-Modul nach RESET (BOOTSTRAPLOADER)"
10960 "NC-System-Download: Timeout fÅr NC-Modul nach RESET (BOOT)"
10961 "NC-System-Download: Timeout fÅr NC-Modul bei BS-Download einschalten"
10962 "NC-System-Download: Timeout fÅr NC-Modul bei Download"
10963 "NC-System-Download: Timeout fÅr NC-Modul bei Download-Abschlu· (FPROM)"
10964 "NC-System-Download: Download-Abbruch durch RPS"
10965 "NC-System-Download: Fehler auf NC-Modul (Moduladresse = 'Info')"
10966 "NC-System-Download: Der HW-Typ des NC-Systems konnte nicht bestimmt werden"
10967 "NC-System-Download: Download-Abbruch durch NC-SW"
10970 "NC-System-Download: Unbekanntes BOOT-Kommando"
10975 "NC-System-Download: Datenblock > 256 BYTEs"
10976 "NC-System-Download: RAM-Ende erreicht"
10980 "NC-System-Download: UngÅltige Checksum"
10981 "NC-System-Download: Fehler bei FPROM lîschen"
10982 "NC-System-Download: Fehler bei FPROM brennen"
10983 "NC-System-Download: NC-System zu gro· fÅr das FPROM"
10990 "NC-System-Download: Abbruch nach Fehler"
10991 "NC-System-Download: Fehler bei SS_write() (Fehlercode = 'Info')"
10992 "NC-System-Download: Fehler bei SS_write() (Moduladresse = 'Info')"

/***************************/
/*     IO-Library          */
/***************************/

11700 "IO-Library: Angegebener IO-Bus bei IO_physdef wird nicht unterstÅtzt"
11701 "IO-Library: UngÅltiger Offset bei IO_physdef"
11702 "IO-Library: UngÅltiger Datenbereich  bei IO_physdef"
11703 "IO-Library: UngÅltiger Mode  bei IO_physdef"
11704 "IO-Library: SC-Entry auf ungerader Adresse  bei IO_physdef"
11705 "IO-Library: UngÅltige IO-Moduladresse  bei IO_physdef"
11706 "IO-Library: Aktuller CPU-Typ wird von IO_physdef nicht unterstÅtzt"

11710 "IO-Library: PV nicht gefunden bei IO_define"
11711 "IO-Library: Fehler bei PV-LÑnge (IO_define)"
11712 "IO-Library: Nicht unterstÅtzter PV-Typ bei IO_define"
11713 "IO-Library: PV ohne Schaufeleintrag bei IO_define"
11714 "IO-Library: Nur Analog-PVs zulÑssig bei IO_define"
11715 "IO-Library: Kein PV-Name bei IO_define"
11716 "IO-Library: Timeout bei IO_data"
11717 "IO-Library: Falscher Ident bei IO_data"

11720 "IO-Library: Falscher Ident 1/2 bei IO_combine"
11721 "IO-Library: Zuviele EintrÑge bei IO_combine"
11722 "IO-Library: SC-Tabelle auf ungerader Adresse bei IO_combine"

/***************************/
/* PV-Funktionen           */
/***************************/

14700 "PV: PV falsch"
14701 "PV: falsche Adresse"
14702 "PV: falsches Feld"
14703 "PV: falsches Element"
14704 "PV: falsche Komponente"
14710 "PV: PV nicht gefunden"
14711 "PV: Task existiert nicht"
14712 "PV: PV-LÑnge Null"
14713 "PV: keine Detailbeschreibung"
14714 "PV: Feldindex zu gro·"
14715 "PV: falscher Shortdescriptor"
14716 "PV: zu kleiner Puffer"
14717 "PV: ungÅltiger Index/Subindex"

/***************************/
/* FBASE   Fehlercodes     */
/***************************/

14800 "FBASE: zu wenig Speicher fÅr Verwaltung"
14801 "FBASE: kein FBASE-Modul im System vorhanden"
14802 "FBASE: Slot wird nicht unterstÅtzt"
14803 "FBASE: Funktion nicht implementiert"
14804 "FBASE: kein Frame empfangen"
14805 "FBASE: öbertragung aktiv"
14806 "FBASE: Transmit-FramelÑnge NULL"
14807 "FBASE: alle Puffer belegt"
14808 "FBASE: Mode nicht unterstÅtzt"
14809 "FBASE: Option nicht unterstÅtzt"
14810 "FBASE: Receive-FramelÑnge zu gro·"
14811 "FBASE: Subslot wird nicht unterstÅtzt"
14812 "FBASE: Interface wird nicht unterstÅtzt"
14813 "FBASE: keine modemfÑhige Schnittstelle"
14814 "FBASE: Control Kommando wird nicht unterstÅtzt"
14815 "FBASE: ungueltige Zieladressierung (Ziel nicht existent)"
14820 "FBASE: Es existiert kein Client COB aus FBASE_open"
14821 "FBCAN: DefineCOB Fehler fÅr Initiate Request Write-COB"
14822 "FBCAN: DefineCOB Fehler fÅr Initiate Request Read-COB"
14823 "FBCAN: DefineCOB Fehler fÅr Initiate Response Write-COB"
14824 "FBCAN: DefineCOB Fehler fÅr Initiate Response Read-COB"
14825 "FBCAN: DefineCOB Fehler fÅr Data Segment Write-COB"
14826 "FBCAN: DefineCOB Fehler fÅr Data Segment Read-COB"
14840 "FBPB: Profibus-Modul nicht verfuegbar"
14841 "FBPB: Sendeframe defekt"
14850 "FBASE: Funktion nicht implementiert"
14890 "FBASE: Modul "tcpipmgr" nicht vorhanden"
14891 "FBASE: zuwenig freier Speicher fuer TCP/IP vorhanden"
14892 "FBASE: TCP/IP Receive Fehler"

/***************************/
/* AROUTER Fehlercodes     */
/***************************/

14900 "WARNING: Routing: Device ist ungÅltig"
14901 "WARNING: Routing: eigene Knotennummer ungÅltig"
14902 "WARNING: Routing: Device-Pfad ist ungÅltig"
14903 "WARNING: Routing: Pfad-Eintrag ist ungÅltig"
14904 "WARNING: Routing: ungÅltiger Frame"
14905 "WARNING: Routing: FBASE-Fehler"
14906 "WARNING: Routing: Device existiert nicht"
14907 "WARNING: Routing: Devicebeschreibungsstring fehlerhaft"
14908 "WARNING: Routing: Fehler beim Lesen der CAN-Parameter"
14909 "WARNING: Routing: Meldung an L2 - Entzug der Devicekontrolle"
14910 "WARNING: Routing: Fehler aus FBASE_write()"
14911 "WARNING: Routing: kein L2-Buffer verfÅgbar"
14912 "WARNING: Routing: Fehler aus FBASE_read()"
14913 "WARNING: Routing: Input-Queue öberlauf"
14914 "WARNING: Routing: Output-Queue öberlauf"
14915 "WARNING: Routing: Reserve 15"
14916 "WARNING: Routing: kein L2-Buffer verfÅgbar (INIT)"
14917 "WARNING: Routing: L2-Schreibauftrag nicht zulÑssig"
14918 "WARNING: Routing: Zuordungsfehler eines gesendeten Frames"
14919 "WARNING: Routing: ungÅltiger Buffer"


